time_submitted,age,city,applicant_before,"if applicant before, what program",completed that program,highest education,course,degreeCategory,year_graduated,expected year graduated if still ongoing,postgrad year graduated,expected year graduated if postgrad still ongoing,postgrad degree,monthly net income,monthly gross income,employment status(Employed/Unemployed),job position,career industry,year tenure,position in company,unemployment status if unemployed,last employment(year) if unemployed,salary before being unemployed,job position before being unemployed,career industry before being unemployed,year tenure before being unemployed,position in before being unemployed,Please rate your experience in Data Science.(out of 5),Microsoft Excel,Microsoft Power BI,Tableau,Matlab,SQL,Python,R,Java,Stats,eViews,SAS,SPSS,Indicate Other Tools & Programming you know,"In one paragraph, why do you deserve the scholarship slot?"
2025-01-16 15:27:39,22,Cagayan de Oro,No,N/A,No,College grad,Accounting,Business,2023,N/A,N/A,N/A,MBA,43800,50369,Employed,Financial controller,Business,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,4,1,5,2,2,3,5,5,5,2,4,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-15 17:47:33,22,General Santos,Yes,N/A,No,College grad,Electrical Engineering,Engineering,2019,N/A,N/A,N/A,MEng,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2018,31353,"Librarian, academic",IT,10,N/A,5,3,5,3,5,1,2,5,1,2,1,2,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-02-01 09:44:13,37,Cebu,No,N/A,No,College grad,Early Childhood Education,Education,2022,N/A,N/A,N/A,MBA,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2017,20235,Writer,Education,9,N/A,5,5,5,2,3,2,1,5,2,3,5,4,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-27 04:50:33,36,Davao,Yes,N/A,No,College grad,Finance,Business,2020,N/A,N/A,N/A,Masters in Data Science,42892,49325,Employed,Armed forces logistics/support/administrative officer,Business,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,4,3,5,4,5,3,4,5,3,4,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-11 05:13:57,40,Bacolod,No,N/A,No,College grad,Pharmacy,Health,2024,N/A,N/A,N/A,MEng,34378,39534,Employed,Health service manager,Health,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,5,1,2,1,2,1,5,4,4,2,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-19 19:04:03,34,Manila,Yes,N/A,No,College grad,Early Childhood Education,Education,2012,N/A,N/A,N/A,MBA,25309,29105,Employed,Community arts worker,Education,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,2,1,2,1,3,3,3,2,3,2,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-05 18:34:25,23,Cebu,No,N/A,No,College grad,Mechanical Engineering,Engineering,2017,N/A,N/A,N/A,MEd,47544,54675,Employed,Trading standards officer,Engineering,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,5,4,1,2,2,4,3,5,4,2,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-22 18:23:20,23,Iloilo,No,N/A,No,College grad,Psychology,Social Sciences,2024,N/A,N/A,N/A,MEng,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2024,27593,Sports administrator,Engineering,6,N/A,2,5,1,2,3,2,2,4,1,3,1,5,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-23 22:11:41,31,Bacolod,No,N/A,No,College grad,Civil Engineering,Engineering,2016,N/A,N/A,N/A,MEd,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2024,29371,Museum/gallery exhibitions officer,IT,7,N/A,5,1,2,3,4,1,5,3,3,3,3,4,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-07 06:45:24,30,Manila,No,N/A,No,College grad,Nursing,Health,2019,N/A,N/A,N/A,MPH,45569,52404,Employed,Illustrator,Health,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,4,3,3,5,4,3,3,3,4,4,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-21 16:01:26,24,Bacolod,No,N/A,No,College grad,Teaching,Education,2014,N/A,N/A,N/A,MEng,34947,40189,Employed,Politician's assistant,Education,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,5,1,3,4,2,5,3,5,2,1,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-31 13:55:26,35,Manila,Yes,N/A,No,College grad,Information Technology,IT,2018,N/A,N/A,N/A,MPH,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2017,37324,Corporate treasurer,Education,10,N/A,5,2,1,2,4,2,2,1,2,5,4,1,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-19 10:20:02,28,Manila,No,N/A,No,College grad,Mechanical Engineering,Engineering,2023,N/A,N/A,N/A,MEd,37157,42730,Employed,Geoscientist,Engineering,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,5,3,5,2,3,4,2,2,2,3,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-28 03:13:24,33,Bacolod,No,N/A,No,College grad,Political Science,Social Sciences,2011,N/A,N/A,N/A,Masters in Data Science,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2021,21613,"Restaurant manager, fast food",Engineering,7,N/A,5,4,4,4,3,2,5,5,4,5,4,3,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-30 20:19:19,22,Bacolod,No,N/A,No,College grad,Teaching,Education,2016,N/A,N/A,N/A,Masters in Data Science,36123,41541,Employed,Print production planner,Education,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,3,5,4,5,1,4,5,3,4,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-15 14:14:41,22,General Santos,No,N/A,No,College grad,Education,Education,2014,N/A,N/A,N/A,MPH,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2016,33556,Surgeon,IT,9,N/A,5,3,2,4,1,4,5,2,2,3,4,4,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-14 09:59:38,26,Cagayan de Oro,Yes,N/A,No,College grad,Psychology,Social Sciences,2020,N/A,N/A,N/A,MEng,44583,51270,Employed,Tax adviser,Social Sciences,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,3,4,3,2,2,1,5,1,2,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-04 18:05:55,34,Zamboanga,No,N/A,No,College grad,Accounting,Business,2010,N/A,N/A,N/A,Masters in Data Science,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2024,27859,Primary school teacher,Education,6,N/A,5,3,3,5,2,5,2,2,5,3,2,2,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-20 16:03:47,39,Manila,Yes,N/A,No,College grad,Data Science,IT,2014,N/A,N/A,N/A,MEng,38492,44265,Employed,Educational psychologist,IT,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,5,4,4,4,3,4,1,4,5,1,5,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-04 08:46:44,38,General Santos,No,N/A,No,College grad,Psychology,Social Sciences,2021,N/A,N/A,N/A,MEd,32977,37923,Employed,Automotive engineer,Social Sciences,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,5,1,5,2,4,1,4,5,4,5,1,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-11 18:52:19,33,Davao,Yes,N/A,No,College grad,Computer Science,IT,2011,N/A,N/A,N/A,MBA,44849,51576,Employed,Museum/gallery conservator,IT,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,3,2,4,1,2,5,1,4,3,1,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-20 09:50:11,40,Cagayan de Oro,No,N/A,No,College grad,Software Engineering,IT,2022,N/A,N/A,N/A,MBA,22575,25961,Employed,Geophysical data processor,IT,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,2,4,4,4,1,3,5,2,3,3,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-03 07:48:28,36,Cagayan de Oro,Yes,N/A,No,College grad,Accounting,Business,2013,N/A,N/A,N/A,MBA,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2021,28955,Podiatrist,Engineering,5,N/A,4,4,4,5,3,2,4,2,5,5,4,1,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-06 02:46:28,25,Iloilo,Yes,N/A,No,College grad,Early Childhood Education,Education,2019,N/A,N/A,N/A,Masters in Data Science,41188,47366,Employed,Land,Education,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,5,4,4,3,2,2,2,4,4,2,3,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-23 21:24:29,31,Cagayan de Oro,No,N/A,No,College grad,Nursing,Health,2021,N/A,N/A,N/A,MEng,47782,54949,Employed,Illustrator,Health,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,3,4,2,4,1,2,1,3,3,5,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-29 08:24:15,35,General Santos,Yes,N/A,No,College grad,Information Technology,IT,2016,N/A,N/A,N/A,MPH,42926,49364,Employed,Sports coach,IT,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,3,1,4,2,3,4,3,4,2,1,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-06 21:14:40,40,Cebu,Yes,N/A,No,College grad,Software Engineering,IT,2018,N/A,N/A,N/A,MPH,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2016,32922,Associate Professor,Social Sciences,9,N/A,3,3,4,5,5,4,4,1,5,5,5,4,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-24 19:28:37,26,Davao,No,N/A,No,College grad,Accounting,Business,2018,N/A,N/A,N/A,MEd,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2017,26861,Research scientist (medical),IT,2,N/A,3,1,1,2,1,1,4,2,4,1,5,5,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-28 11:10:27,40,Manila,No,N/A,No,College grad,Software Engineering,IT,2010,N/A,N/A,N/A,MEd,24932,28671,Employed,Chiropractor,IT,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,4,1,4,2,1,1,3,5,4,1,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-16 16:03:09,33,Cebu,No,N/A,No,College grad,Electrical Engineering,Engineering,2022,N/A,N/A,N/A,MPH,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2017,38209,Chartered legal executive (England and Wales),Education,10,N/A,1,5,5,4,5,3,3,2,5,3,2,2,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
